序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
383,2025-06-20,武汉奥克化学有限公司,奥克控股,民企,"国家级专精特新""小巨人""企业,高新技术企业,省级""专精特新""中小企业,省级制造业单项冠军企业",,在营,王树博,027-86859285,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"9,111.69",,3.16年,2025-06-20,2028-08-19,初始登记,详见附件。,综合,制造业,其他制造业,湖北-武汉-洪山,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
384,2025-06-20,嵊州市经济开发区艇湖新兴产业园建设有限公司,嵊州市投资控股有限公司,"国企,城投,发债",,,在营,卢霄峰,,海南财致融资租赁有限公司,国企,朱江,0510-88787753,,,"12,535.55",CNY,3.25年,2025-06-18,2028-09-17,变更登记,承租人名下设备资产,建筑装饰,建筑业,土木工程建筑业,浙江-绍兴-嵊州,海南-儋州,租赁融资事件-租赁资产价值5000以上_6月
385,2025-06-20,河南省铁路建设投资集团有限公司,河南省铁路建设投资集团有限公司,"国企,城投,发债",,,在营,悦国勇,0371-88906608,昆仑金融租赁有限责任公司,"国企,发债",严九,2367561805,,,"58,883.51",CNY,10.08年,2025-06-20,2035-07-19,初始登记,项目租赁物为编号为CR400BF-AZ-0516动车组8节车厢，具体车厢号为ZEC051609、ZE051610、ZE051611、ZE051612、ZE051613、ZE051614、ZY051615、ZYS051600；编号为CR400BF-AZ-0517动车组1列；编号为CR400BF-Z-0514动车组1列。,交通运输,交通运输、仓储和邮政业,铁路运输业,河南-郑州-金水,重庆-江北,租赁融资事件-租赁资产价值5000以上_6月
386,2025-06-20,德州市水务发展有限公司,,"国企,城投子公司",,,在营,刘玉东,0534-2267159,远东宏信(天津)融资租赁有限公司,"国企,发债",孔繁星,022-83812843,,,"20,552.19",CNY,2.5年,2025-06-20,2027-12-19,初始登记,详见附件。,建筑装饰,建筑业,土木工程建筑业,山东-德州-德城,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
387,2025-06-20,惠东县环大亚湾新区建设有限公司,惠东县国有资产投资集团有限公司,"国企,城投子公司",,,在营,郭博宇,8826312,弘创融资租赁有限公司,"国企,发债",段建勋,021-58870515,,,"7,559.28",CNY,5年,2025-06-20,2030-06-19,初始登记,具体详见附件租赁物清单,房地产,房地产业,房地产业,广东-惠州-惠东,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
388,2025-06-20,上海钧丰网络科技有限公司,,民企,,,在营,彭照坤,021-60712060,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"27,300.61",,5.91年,2025-06-20,2031-05-19,初始登记,163683辆单车和144253辆助力车，详见租赁物清单。融资租赁财产不得转让。(该项目分三笔登记，此为第三笔。),综合,科学研究和技术服务业,科技推广和应用服务业,上海-闵行,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
389,2025-06-20,上海钧丰网络科技有限公司,,民企,,,在营,彭照坤,021-60712060,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"27,300.61",,5.91年,2025-06-20,2031-05-19,初始登记,163683辆单车和144253辆助力车，详见租赁物清单。融资租赁财产不得转让。(该项目分三笔登记，此为第二笔。),综合,科学研究和技术服务业,科技推广和应用服务业,上海-闵行,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
390,2025-06-20,太仓智创智能制造有限公司,太仓高新控股有限公司,"国企,城投子公司",,,在营,叶晔,0512-53891120,苏州市农发融资租赁有限公司,"国企,发债",赵平,0512-80961276,,,"11,048.24",CNY,6年,2025-06-20,2031-06-19,初始登记,租赁物详见附件。租赁期限以合同为准。,机械设备,制造业,通用设备制造业,江苏-苏州-太仓,江苏-苏州-虎丘,租赁融资事件-租赁资产价值5000以上_6月
391,2025-06-20,上海钧丰网络科技有限公司,,民企,,,在营,彭照坤,021-60712060,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"27,300.61",,5.91年,2025-06-20,2031-05-19,初始登记,163683辆单车和144253辆助力车，详见租赁物清单。融资租赁财产不得转让。(该项目分三笔登记，此为第一笔。),综合,科学研究和技术服务业,科技推广和应用服务业,上海-闵行,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
392,2025-06-20,太仓智创智能制造有限公司,太仓高新控股有限公司,"国企,城投子公司",,,在营,叶晔,0512-53891120,苏州市农发融资租赁有限公司,"国企,发债",赵平,0512-80961276,,,"11,080.78",CNY,6年,2025-06-20,2031-06-19,初始登记,租赁物详见附件。租赁期限以合同为准。,机械设备,制造业,通用设备制造业,江苏-苏州-太仓,江苏-苏州-虎丘,租赁融资事件-租赁资产价值5000以上_6月
393,2025-06-20,太仓智创智能制造有限公司,太仓高新控股有限公司,"国企,城投子公司",,,在营,叶晔,0512-53891120,苏州市农发融资租赁有限公司,"国企,发债",赵平,0512-80961276,,,"5,314.71",CNY,6年,2025-06-20,2031-06-19,初始登记,租赁物详见附件。租赁期限以合同为准。,机械设备,制造业,通用设备制造业,江苏-苏州-太仓,江苏-苏州-虎丘,租赁融资事件-租赁资产价值5000以上_6月
394,2025-06-20,重庆市长寿区智新基础设施建设有限公司,中国航空工业集团有限公司,国企,,,在营,贾卫东,2368433201,立根融资租赁(上海)有限公司,"国企,发债",汪震东,021-68816077,,,"5,611.64",,3.08年,2025-06-20,2028-07-19,初始登记,设备一批,建筑装饰,建筑业,建筑装饰、装修和其他建筑业,重庆-长寿,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
395,2025-06-20,太仓智创智能制造有限公司,太仓高新控股有限公司,"国企,城投子公司",,,在营,叶晔,0512-53891120,苏州市农发融资租赁有限公司,"国企,发债",赵平,0512-80961276,,,"5,155.94",CNY,6年,2025-06-20,2031-06-19,初始登记,租赁物详见附件。租赁期限以合同为准。,机械设备,制造业,通用设备制造业,江苏-苏州-太仓,江苏-苏州-虎丘,租赁融资事件-租赁资产价值5000以上_6月
396,2025-06-20,如东丰泰农林发展有限公司,如东县升泰新农村开发建设有限公司,国企,,,在营,杨阳,51384581156,哈银金融租赁有限责任公司,"国企,发债",吕天君,0451-87305759,,,"35,468.87",CNY,6年,2025-06-20,2031-06-19,初始登记,承租人设备设施，具体如附件所示,农林牧渔,农、林、牧、渔业,农业,江苏-南通-如东,黑龙江-哈尔滨-松北,租赁融资事件-租赁资产价值5000以上_6月
397,2025-06-20,永恒力合力工业车辆租赁有限公司,,,,,在营,周峻,021-65186860,兴业金融租赁有限责任公司,"国企,发债",李小东,010-64450063,,,"10,742.54",CNY,2年,2025-06-19,2027-06-18,变更登记,该笔项目为由安徽合泰融资租赁有限公司洁净转入兴业金融租赁有限责任,非银金融,租赁和商务服务业,租赁业,上海-闵行,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
398,2025-06-20,宜昌国诚涂镀板有限公司,宜昌产投控股集团有限公司,国企,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,谭志强,0717-6985230,邦银金融租赁股份有限公司,"国企,发债",马立,010-57371771,,,"10,000.00",CNY,5.25年,2025-06-20,2030-09-19,初始登记,详见租赁物清单,钢铁,制造业,黑色金属冶炼和压延加工业,湖北-宜昌-猇亭,河南-郑州-金水,租赁融资事件-租赁资产价值5000以上_6月
399,2025-06-20,金华市自来水有限公司,金华市国有资本运营有限公司,"国企,城投子公司",,,在营,卢华东,0579-82065297,招商局融资租赁(上海)有限公司,"国企,发债",杨皓,0755-88279900,,,"25,887.50",CNY,2.08年,2025-06-20,2027-07-19,初始登记,租赁物为【金华市婺城区琅琊镇徐联村东南方九峰水厂设备、金华市城北街道五一路707号建筑内设备】，详见租赁财产附件。租赁期内，租赁物不得转让、不得抵押、租赁物产生的应收账款及收益权不得质押给第三方,环保,电力、热力、燃气及水生产和供应业,水的生产和供应业,浙江-金华-婺城,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
400,2025-06-20,福建东南设计集团有限公司,三明市城市建设发展集团有限公司,"国企,城投子公司",省级企业技术中心,,在营,刘维东,18950955319,山东通达金融租赁有限公司,国企,王希峰,0531-68978160,,,"19,227.76",CNY,5年,2025-06-20,2030-06-19,初始登记,本合同项下的租赁物为承租人名下的网络系统及其附属设备、供水及加压设备、动力系统设备等资产(详见财产附件租赁物清单)，存放地点位于福建省三明市三明生态工贸区生态新城迎宾大道北侧，评估价值为人民币192277623.89元。在合同存续期间，该租赁物的所有权归山东通达金融租赁有限公司所有，特此说明。,社会服务,科学研究和技术服务业,专业技术服务业,福建-三明-三元,山东-济南-历下,租赁融资事件-租赁资产价值5000以上_6月
401,2025-06-20,内蒙古三爱富万豪氟化工有限公司,上海华谊控股集团有限公司,国企,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业,省级制造业单项冠军企业",,在营,刘建佳,17747411541,上海华谊集团融资租赁有限公司,国企,郭牧,021-23535683,,,"5,027.76",CNY,3年,2025-06-20,2028-06-19,初始登记,氟化工生产设备,基础化工,制造业,化学原料和化学制品制造业,内蒙古-乌兰察布-丰镇,上海-静安,租赁融资事件-租赁资产价值5000以上_6月
402,2025-06-20,天津武清经济技术开发区有限公司,天津武清经济技术开发区有限公司,"国企,发债",国家众创空间,,在营,王继宾,2282115688,天津天保租赁有限公司,国企,任强,022-24928620,,,"12,000.00",CNY,3年,2025-06-20,2028-06-19,变更登记,天津武清经济技术开发区有限公司持有的租赁物资产，主要包括：(1)位于武清开发区行政许可中心内的空调暖通设备1项资产；(2)位于开发区蓝领公寓3#-5#楼内的电力系统、火灾自动报警系统设备等14项资产；(3)位于武清开发区英华中学内的游泳馆加热系统、网络系统、空调系统等13项资产共计28项租赁物资产。,建筑装饰,房地产业,房地产业,天津-武清,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
403,2025-06-20,珠海华福商贸发展有限公司,珠海华发集团有限公司,国企,,,在营,刘照华,0756-8928449,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"10,288.72",CNY,3.08年,2025-06-20,2028-07-19,初始登记,绍兴市越城区群贤中路1199号的设备一批,房地产,房地产业,房地产业,广东-珠海-香洲,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
404,2025-06-20,珠海华福商贸发展有限公司,珠海华发集团有限公司,国企,,,在营,刘照华,0756-8928449,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"10,463.53",CNY,3.08年,2025-06-20,2028-07-19,初始登记,绍兴市越城区群贤中路1199号的设备一批,房地产,房地产业,房地产业,广东-珠海-香洲,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
405,2025-06-20,珠海华福商贸发展有限公司,珠海华发集团有限公司,国企,,,在营,刘照华,0756-8928449,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"5,996.45",CNY,3.08年,2025-06-20,2028-07-19,初始登记,绍兴市越城区群贤中路1199号的设备一批,房地产,房地产业,房地产业,广东-珠海-香洲,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
406,2025-06-20,中国康富国际租赁股份有限公司,,"国企,发债",,被执行人,在营,姚敏,010-50815716,诚通融资租赁有限公司,"国企,发债",陈剑影,010-53230152,,,"10,418.95",CNY,3年,2025-06-20,2028-06-19,初始登记,本合同项下的承租人中国康富国际租赁股份有限公司通过与次承租人新疆融保达志正新能源科技有限公司签订的编号为【CKFIL202408ZL0001、CKFIL202408ZL0002、CKFIL202408ZL0004、CKFIL202408ZL0005】号《融资租赁合同》取得所有权的租赁物为本次融资租赁登记的租赁财产。具体租赁物详见本次融资租赁登记的租赁财产附件。在登记期限内，承租人不得以转让、抵押、质押、托管或者其他任何方式处分本登记清单项下租赁物，即编号为诚通融资租赁(2025)项字第2501243100号《融资租赁合同》项下租赁物。,非银金融,金融业,货币金融服务,北京-海淀,北京-海淀,租赁融资事件-租赁资产价值5000以上_6月
407,2025-06-20,珠海华福商贸发展有限公司,珠海华发集团有限公司,国企,,,在营,刘照华,0756-8928449,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"5,484.72",CNY,3.08年,2025-06-20,2028-07-19,初始登记,绍兴市越城区群贤中路1199号的一批设备,房地产,房地产业,房地产业,广东-珠海-香洲,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
408,2025-06-20,江西汇联贸易有限公司,吉安市创新投资集团有限公司,"国企,城投子公司",,,在营,左秋香,0796-8402083,江西省赣江融资租赁有限公司,国企,周吉川,88559430,,,"5,967.23",,3.08年,2025-06-20,2028-07-19,初始登记,租赁标的为位于江西省井冈山经济技术开发区君山大道165号井大科技园一期及二期配电系统、工业电梯、风管机、中央空调、监控、通风系统等设备,商贸零售,批发和零售业,零售业,江西-吉安-吉安,江西-南昌-新建,租赁融资事件-租赁资产价值5000以上_6月
409,2025-06-20,二十一世纪空间技术应用股份有限公司,,发债,高新技术企业,,在营,吴双,62929966,中建投租赁股份有限公司,"国企,发债",秦群,010-66276988,,,"37,071.58",CNY,6.5年,2025-06-20,2031-12-19,初始登记,租赁物为北京三号B星的高空设备，发票号为43218853、43218854等，详见租赁物清单。,计算机,信息传输、软件和信息技术服务业,软件和信息技术服务业,北京-海淀,北京-西城,租赁融资事件-租赁资产价值5000以上_6月
410,2025-06-20,合肥高新城市发展集团有限公司,合肥高新控股集团有限公司,"国企,城投,发债",,,在营,姚小平,65326558,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"41,740.10",CNY,6年,2025-06-20,2031-06-19,初始登记,园区内供电设备，详见租赁物清单。融资租赁财产不得转让。,建筑装饰,建筑业,土木工程建筑业,安徽-合肥-蜀山,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
411,2025-06-20,盐城市城东污水处理有限公司,盐城市城市资产投资集团有限公司,"国企,城投子公司",,,在营,王锋,51589802599,中交融资租赁(广州)有限公司,"国企,发债",周涛,020-89117077,,,"23,500.12",CNY,3.08年,2025-06-20,2028-07-19,初始登记,盐城市城东污水处理有限公司已经将部分位于盐城市文港北路179号盐城市城东污水处理厂内的污水处理设备转让至我司名下，详见附件租赁物清单。,环保,电力、热力、燃气及水生产和供应业,水的生产和供应业,江苏-盐城-亭湖,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
412,2025-06-20,"广州智都城市运营管理有限公司,广州智都投资控股集团有限公司",,,,,,,,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"5,012.50",CNY,3.08年,2025-06-20,2028-07-19,初始登记,详见附件。,-,-,-,-,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
413,2025-06-20,三台县人民医院(川北医学院附属三台医院),,国企,,,在营,周立远,,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"5,025.12",CNY,5.5年,2025-06-20,2030-12-19,初始登记,设备一批，详见附件,,,,四川-绵阳-三台,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
414,2025-06-20,"广州智都城市运营管理有限公司,广州智都投资控股集团有限公司",,,,,,,,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"5,080.08",CNY,3.08年,2025-06-20,2028-07-19,初始登记,详见附件。,-,-,-,-,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
415,2025-06-20,"广州智都城市运营管理有限公司,广州智都投资控股集团有限公司",,,,,,,,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"5,127.48",CNY,3.08年,2025-06-20,2028-07-19,初始登记,详见附件。,-,-,-,-,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
416,2025-06-20,"广州智都城市运营管理有限公司,广州智都投资控股集团有限公司",,,,,,,,广州工控万宝融资租赁有限公司,"国企,发债",罗明,020-89009365,,,"5,004.34",CNY,3.08年,2025-06-20,2028-07-19,初始登记,详见附件,-,-,-,-,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
417,2025-06-20,山东兖矿轻合金股份有限公司,山东能源集团有限公司,国企,,,在营,王鹏,0537-5943583,中煤科工金融租赁股份有限公司,国企,王志刚,010-66232180,,,"8,000.00",CNY,2.16年,2025-06-20,2027-08-19,初始登记,租赁财产包含窑炉电炉*30吨均热炉组、冶金专用设备*在线处理设备1等，净值合计80750162.79元，详见租赁财产附件。,有色金属,制造业,有色金属冶炼和压延加工业,山东-济宁-邹城,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
418,2025-06-20,淮南矿业(集团)有限责任公司,淮河能源控股集团有限责任公司,"国企,发债",,终本案件,在营,王世森,0554-7624297,淮矿上信融资租赁有限公司,"国企,发债",夏晓苏,0554-7622385,,,"20,216.27",CNY,1.08年,2025-06-20,2026-07-19,初始登记,矿用设备，详见租赁物清单,煤炭,采矿业,煤炭开采和洗选业,安徽-淮南-田家庵,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
419,2025-06-20,荆州海子湖城市环境有限公司,荆州市文化旅游投资发展集团有限公司,国企,,,在营,熊中森,0716-8016055,湖北铁路集团融资租赁有限公司,国企,罗明华,15972210896,,,"6,007.84",CNY,3年,2025-06-20,2028-06-19,初始登记,湖北铁路集团融资租赁有限公司与荆州海子湖城市环境有限公司签署《售后回租赁合同》，合同编号HBTLZL-2025-008-HZ，租赁物位于湖北省荆州市纪南生态文化旅游区马店村。资产条目共31条，评估净值共计人民币60078411.23元。相关租赁物清单详见附件。以上租赁物未经出租人许可，承租人不得出售、转让、分租、转租租赁物件；不得在租赁物件上设置任何抵押权或其他担保权益，或进行任何侵害出租人所有权的行为。承租人擅自进行的上述行为无效。,综合,租赁和商务服务业,商务服务业,湖北-荆州-荆州,湖北-武汉-江汉,租赁融资事件-租赁资产价值5000以上_6月
420,2025-06-20,正泰安能数字能源(浙江)股份有限公司,正泰集团,民企,,,在营,陆川,18300427673,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"10,000.00",CNY,3.75年,2025-06-13,2029-03-12,变更登记,户用分布式光伏组件(共计166871条租赁物，分三笔登记，此为第三笔)，详见租赁物清单。融资租赁财产不得转让。,社会服务,科学研究和技术服务业,专业技术服务业,浙江-杭州-滨江,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
421,2025-06-20,正泰安能数字能源(浙江)股份有限公司,正泰集团,民企,,,在营,陆川,18300427673,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"10,000.00",CNY,3.75年,2025-06-13,2029-03-12,变更登记,户用分布式光伏组件(共计166871条租赁物，分三笔登记，此为第二笔)，详见租赁物清单。融资租赁财产不得转让。,社会服务,科学研究和技术服务业,专业技术服务业,浙江-杭州-滨江,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
422,2025-06-20,淮南市高新投资(集团)有限责任公司,淮南建设发展控股(集团)有限公司,"国企,城投子公司",,,在营,张蓓蕾,6628072,信隆融资租赁有限公司,,马元铜,18061687509,,,"14,091.79",CNY,5.16年,2025-06-20,2030-08-19,初始登记,租赁物为淮南高新区新能源汽车及装备制造产业园照明、应急强电系统设备、给排水及消防设备、通风排烟设备等,房地产,房地产业,房地产业,安徽-淮南-田家庵,安徽-蚌埠-蚌山,租赁融资事件-租赁资产价值5000以上_6月
423,2025-06-20,正泰安能数字能源(浙江)股份有限公司,正泰集团,民企,,,在营,陆川,18300427673,交银金融租赁有限责任公司,"国企,发债",徐斌,021-53559858,,,"10,000.00",CNY,3.75年,2025-06-13,2029-03-12,变更登记,户用分布式光伏组件(共计166871条租赁物，分三笔登记，此为第一笔)。详见租赁物清单。融资租赁财产不得转让。,社会服务,科学研究和技术服务业,专业技术服务业,浙江-杭州-滨江,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
424,2025-06-20,潍坊理工学院,,国企,,,在营,金德禄,,远东宏信(天津)融资租赁有限公司,"国企,发债",孔繁星,022-83812843,,,"11,574.80",CNY,4.16年,2025-06-20,2029-08-19,初始登记,详见附件。,,,,山东-潍坊-青州,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
425,2025-06-20,湖州吴兴南太湖建设投资集团有限公司,湖州市吴兴区国有资本监督管理服务中心,"国企,城投,发债",,,在营,于诚,2777976,河南九鼎金融租赁股份有限公司,"国企,发债",夏华,0371-56195031,,,"16,361.12",CNY,3.25年,2025-06-20,2028-09-19,初始登记,位于湖州市吴兴区八里店镇南塘漾路1239号吴兴区科技创业园的高低压配电设备、监控系统设备等资产，设备所在楼幢号：04、05、06、07、21、22、23、24、25 。设备价值163611219.5元，详细信息见附件。,建筑装饰,建筑业,土木工程建筑业,浙江-湖州-吴兴,河南-郑州-金水,租赁融资事件-租赁资产价值5000以上_6月
426,2025-06-19,恒力造船(大连)有限公司,恒力集团,民企,,,在营,安锦香,0411-66522875,北银金融租赁有限公司,"国企,发债",孔海涛,010-66429088,,,"34,851.12",CNY,5年,2025-06-19,2030-06-18,初始登记,租赁物为269台起重机。具体设备资产明细详见租赁财产附件-租赁物清单。禁止承租人转让、处分租赁物资产。备注：编号为北银金租【2025】直字0063号《融资租赁合同》于2025年4月10日实现投放，并于2025年4月10日办理了编号为【3967 1434 0052,交通运输,制造业,铁路、船舶、航空航天和其他运输设备制造业,辽宁-大连-旅顺口,北京-东城,租赁融资事件-租赁资产价值5000以上_6月
427,2025-06-19,国家电投集团贵州金元威宁能源股份有限公司,国家电力投资集团有限公司,央企子公司,,,在营,张金熠,0857-7139836,招商局融资租赁(天津)有限公司,"国企,发债",杨皓,0755-88279900,,,"101,143.32",CNY,5.08年,2025-06-16,2030-07-15,变更登记,租赁物为威宁县海拉中梁子农业光伏电站资产、威宁县小官山农业光伏电站资产、威宁县象鼻岭水光互补农业光伏电站资产(包含一期、二期)、威,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,贵州-毕节-威宁县,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
428,2025-06-19,贵州胜威福全化工有限公司,,民企,"高新技术企业,省级专精特新""小巨人""企业,省级企业技术中心",,在营,赵磊,0854-2468758,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"6,000.00",CNY,3.5年,2025-06-18,2028-12-17,变更登记,设备一批，详见附件,基础化工,制造业,化学原料和化学制品制造业,贵州-黔南州-福泉,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
429,2025-06-19,贵州胜威福全化工有限公司,,民企,"高新技术企业,省级专精特新""小巨人""企业,省级企业技术中心",,在营,赵磊,0854-2468758,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"6,000.00",CNY,3.5年,2025-06-18,2028-12-17,变更登记,设备一批，详见附件,基础化工,制造业,化学原料和化学制品制造业,贵州-黔南州-福泉,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
430,2025-06-19,大唐新能源朔州平鲁风力发电有限公司,中国大唐集团新能源股份有限公司,国企,,,在营,张自立,0351-7023620,上海大唐融资租赁有限公司,"国企,发债",王婷婷,021-58825863,,,"21,351.84",CNY,1.16年,2025-06-19,2026-08-18,初始登记,平鲁白玉山二期、扩容300MW风力发电项目发电设备，设备清单详见附件。,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,山西-朔州-平鲁,上海-静安,租赁融资事件-租赁资产价值5000以上_6月
431,2025-06-19,洛阳龙门旅游集团有限公司,洛阳文化旅游投资集团有限公司,"国企,城投,发债",,,在营,叶振,0379-69827551,河南国宏融资租赁有限公司,"国企,发债",吴艳辉,0379-65557659,,,"7,000.56",CNY,4年,2025-06-19,2029-06-18,初始登记,租赁物为河南国宏融资租赁有限公司自有的设备一批，详见附件。租赁物存放地点详见附件。租赁期间，承租人不得以任何方式转让租赁物或设置权利负担。,综合,租赁和商务服务业,商务服务业,河南-洛阳-洛龙,河南-洛阳-涧西,租赁融资事件-租赁资产价值5000以上_6月
432,2025-06-19,嵊州市城市建设投资发展集团有限公司,嵊州市投资控股有限公司,"国企,城投,发债",,,在营,刘景山,0575-83335887,浙江浙银金融租赁股份有限公司,发债,汪国平,0571-87560880,,,"6,127.14",CNY,5年,2025-06-19,2030-06-18,初始登记,我公司与嵊州市城市建设投资发展集团有限公司签订的编号为ZY2025SH0195号《融资租赁合同》项下附件《租赁物清单》中列明的租赁物(详见租赁财产附件)。,综合,租赁和商务服务业,商务服务业,浙江-绍兴-嵊州,浙江-舟山-定海,租赁融资事件-租赁资产价值5000以上_6月
433,2025-06-19,洛阳龙门旅游集团有限公司,洛阳文化旅游投资集团有限公司,"国企,城投,发债",,,在营,叶振,0379-69827551,河南国宏融资租赁有限公司,"国企,发债",吴艳辉,0379-65557659,,,"5,787.35",CNY,4年,2025-06-19,2029-06-18,初始登记,租赁物为河南国宏融资租赁有限公司自有的设备一批，详见附件。租赁物存放地点详见附件。租赁期间，承租人不得以任何方式转让租赁物或设置权利负担。,综合,租赁和商务服务业,商务服务业,河南-洛阳-洛龙,河南-洛阳-涧西,租赁融资事件-租赁资产价值5000以上_6月
434,2025-06-19,洛阳龙门旅游集团有限公司,洛阳文化旅游投资集团有限公司,"国企,城投,发债",,,在营,叶振,0379-69827551,河南国宏融资租赁有限公司,"国企,发债",吴艳辉,0379-65557659,,,"5,801.54",CNY,4年,2025-06-19,2029-06-18,初始登记,租赁物为河南国宏融资租赁有限公司自有的设备一批，详见附件。租赁物存放地点详见附件。租赁期间，承租人不得以任何方式转让租赁物或设置权利负担。,综合,租赁和商务服务业,商务服务业,河南-洛阳-洛龙,河南-洛阳-涧西,租赁融资事件-租赁资产价值5000以上_6月
435,2025-06-19,中煤第三建设(集团)有限责任公司,中煤矿山建设集团有限责任公司,国企,,被执行人,在营,孙学军,0551-63675272,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,,"6,600.01",CNY,2.08年,2025-06-19,2027-07-18,初始登记,设备一批，详情请参考附件,建筑装饰,建筑业,土木工程建筑业,安徽-宿州-埇桥,上海-黄浦,租赁融资事件-租赁资产价值5000以上_6月
436,2025-06-19,中煤第三建设(集团)有限责任公司,中煤矿山建设集团有限责任公司,国企,,被执行人,在营,孙学军,0551-63675272,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,,"6,600.01",CNY,2.08年,2025-06-19,2027-07-18,初始登记,设备一批，详情请参考附件,建筑装饰,建筑业,土木工程建筑业,安徽-宿州-埇桥,上海-黄浦,租赁融资事件-租赁资产价值5000以上_6月
437,2025-06-19,诸暨市建设集团有限公司,诸暨市国有资产经营有限公司,"国企,城投,发债",,,在营,郭剑波,139****5415,浙江国金融资租赁股份有限公司,"国企,发债",刘伟,0571-87600737,,,"11,259.92",CNY,7年,2025-06-19,2032-06-18,初始登记,本次融资租赁资产为存放在诸暨市建设集团有限公司管理、原价总值101111516.66元的装修垃圾处置线、拆迁垃圾处置线、环保系统等共计28项租赁财产。租赁物位置：诸暨市诚禾环保科技有限公司厂区内。详情见附件，并欢迎致电浙江国金融资租赁股份有限公司垂询。,建筑装饰,建筑业,土木工程建筑业,浙江-绍兴-诸暨,浙江-杭州-富阳,租赁融资事件-租赁资产价值5000以上_6月
